ligand_id	smiles	cluster
0MD	CC[C@H]1CCCC[C@@]1(C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc3ccc(c(c3)OC)OC)c4cccc(c4)OCC(=O)O)O	206
0MJ	Cc1ccc(cc1)S(=O)(=O)N[C@@H]2C[C@@H](CNC2)C(=O)NCC3c4ccccc4Oc5c3cccc5	955
0MM	Cc1c(c(no1)c2cccnc2Cl)C(=O)N3CCN(CC3)c4ccc(cc4Cl)[N+](=O)[O-]	758
0MN	COc1cccc(c1)OCC(=O)Nc2ccc(cc2)c3nc4ccccc4s3	6001
0MO	CCCCOc1cc(ccc1OC)C[C@@H]2CNC(=O)N2	6000
0MP	CC(=O)N[C@@H](Cc1ccc(cc1)F)[C@@H](CN[C@H]2CC3(CCC3)Oc4c2cc(cn4)CC(C)(C)C)O	956
0MQ	C1CCC(CC1)NCC(P(=O)(O)O)P(=O)(O)O	1762
0MT	c1ccc(cc1)c2c3c([nH]n2)C(=O)N([C@@H]3c4ccc(cc4)[N+](=O)[O-])c5ccc(cc5)C(=O)O	5999
0MW	CCCCCCNCC(P(=O)(O)O)P(=O)(O)O	590
0N0	Cc1ccc(cc1)S(=O)(=O)N[C@@H]2C[C@@H](CNC2)C(=O)NCC3(c4ccccc4Oc5c3cccc5)CCCCOC	955
0N1	Cc1cc2cc(c1)C(=O)N[C@@H](COC/C=C/C[C@@H](NC2=O)c3ccccc3)[C@@H](CNCc4cccc(c4)C(C)C)O	1808
0N5	COc1cc2c(cc1O)ncnc2Nc3ccc(cc3)NC(=O)c4ccccc4	358
0N7	c1ccc2c(c1)CC(=O)N(C2=O)O	5998
